,Float
DGB,10685484053
QTUM,88829720
ZEN,4538138
BTG,23188924
BTS,2652520000
ELF,250000000
RDD,28808713174
HSR,43379768
BCN,1.84E+11
BAT,1000000000
XZC,5459011
AE,233020472
GNO,1104590
DGD,2000000
SNT,3470483788
PPT,37004027
ETHOS,78296731
NANO,133248289
AION,205422840
XVG,15172086051
WAVES,100000000
FUN,5010848189
NAS,45500000
REP,11000000
ZCL,4660750
POWR,374800708
POLY,276420107
WAN,106152493
STRAT,98981631
MONA,61695200
QASH,350000000
LRC,572074043
PIVX,56781166
GXS,60000000
ENG,74836171
BNT,52283657
STORJ,135787439
GNT,959242000
CVC,440000000
KMD,109121260
