,Float
BTC,20986335.65
XRP,100000000000.0
ETH,135135633.79999998
XLM,142283354823.16
BCH,20982433.29
LTC,83880542.21
EOS,1366411730.19
BSV,20982141.46
BNB,100000000.0
ADA,42014022058.74
LINK,1000000000.0
TRX,104145119673.45999
XTZ,1923800541.46
XMR,22466083.47
DASH,17600805.03
NEO,100000000.0
ETC,194571423.67
ONT,1000000000.0
ZEC,20924230.74
IOT,2779530283.28
DOGE,280666706295.71
ICX,4105532970.53
RVN,20754957265.63
XEM,8999999999.0
VET,86716263400.0
BAT,1500000000.0
DCR,20619744.270000003
ZRX,1000000000.0
QTUM,107823401.53999999
LSK,231538505.47
BTG,20983114.73
SC,91002491209.17
DGB,21000000000.0
OMG,140245398.25
ZIL,20999982720.4
MONA,105082725.0
AE,503616445.26
NANO,133248289.0
KMD,200000000.0
BCD,210000000.0
XZC,21347303.34
NULS,250401085.34
ZEN,20865535.36
BTS,3527780933.67
THETA,1000000000.0
REP,11000000.0
GAS,60464204.03
MCO,22111377.4
SNT,6804870174.89
WAVES,99000000.0
ARK,381936707.22
IOST,12013965608.0
XVG,16500000000.0
QASH,1000000000.0
MAID,452552412.0
STORJ,425000000.0
ARDR,998999495.0
STEEM,349382776.0
AION,641095291.0
GXC,100000000.0
ELF,544480199.0
WAN,209675017.96
GNT,1000000000.0
CVC,1000000000.0
RCN,1000000000.0
PIVX,175458680.4
FUN,11000000000.0
WTC,42742203.0
KNC,178212585.95999998
NAS,51952589.0
