,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,17445737.0,44662.0,0.25666230390939404,4.466200000000001,-7.377237438606564,-2.911037438606563
XRP,40794121066.0,466779362.0,1.157476149621095,46677.936200000004,-17250.51324590895,29427.422954091053
ETH,104030417.0,504602.0,0.4874165926633811,50.4602,-43.99109576432642,6.4691042356735835
XLM,19160772795.0,6272906.0,0.032748993898823464,627.2906,-8102.470558618884,-7475.179958618884
EOS,906245118.0,0.0,0.0,0.0,-383.2217241990993,-383.2217241990993
BCH,17532713.0,46500.0,0.26592378807235306,4.65,-7.414016773492802,-2.764016773492802
LTC,59745834.0,370310.0,0.623674495908455,37.031,-25.264579156820542,11.766420843179457
BSV,17531523.0,,,,-7.413513561014479,
ADA,25927070538.0,0.0,0.0,0.0,-10963.718841246247,-10963.718841246247
DASH,8527639.0,53856.0,0.6355602922567094,5.3856,-3.6060624835581003,1.7795375164418998
TRX,66630467715.0,489384884.0,0.7399106017820234,48938.4884,-28175.86789133437,20762.620508665634
XTZ,607489041.0,0.0,0.0,0.0,-256.8874503157074,-256.8874503157074
ZEC,5537719.0,186513.0,3.485438609539604,18.651300000000003,-2.3417221027281854,16.30957789727182
ETC,107062920.0,637562.0,0.5990696315064215,63.7562,-45.273443117395345,18.482756882604654
XMR,16675043.0,72872.0,0.43893054709531754,7.2872,-7.051335894263125,0.23586410573687555
IOT,2779530283.0,0.0,0.0,0.0,-1175.3733800691996,-1175.3733800691996
NEO,65000000.0,0.0,0.0,0.0,-27.48639587478744,-27.48639587478744
DOGE,117570476118.0,360471353.0,0.3075431604347534,36047.1353,-49716.74845794754,-13669.61315794754
ONT,537500000.0,0.0,0.0,0.0,-227.29135050304998,-227.29135050304998
XEM,8999999999.0,0.0,0.0,0.0,-3805.808659163086,-3805.808659163086
MAID,452552412.0,0.0,0.0,0.0,-191.36976538956776,-191.36976538956776
BNB,144443333.0,0.0,0.0,0.0,-61.080409727873054,-61.080409727873054
MANA,1050141509.0,0.0,0.0,0.0,-444.07084986031776,-444.07084986031776
ZIL,9285376205.0,1252097679.0,15.586384499772299,125209.7679,-3926.485018722484,121283.28288127753
VET,55454734800.0,0.0,0.0,0.0,-23450.012212986945,-23450.012212986945
DCR,9047224.0,142256.0,1.5974902997967,14.2256,-3.825778160490429,10.39982183950957
LSK,113328394.0,676250.0,0.6002992717120348,67.625,-47.92290925135209,19.70209074864791
ZRX,552255319.0,1060167.0,0.1923396815362466,106.0167,-233.5308972614003,-127.5141972614003
BTG,17413924.0,41875.0,0.24104813427592298,4.1875,-7.363784750730185,-3.1762847507301846
SC,38629372119.0,431375322.0,1.129313990711367,43137.5322,-16335.11099165093,26802.42120834907
WAVES,100000000.0,0.0,0.0,0.0,-42.28676288428837,-42.28676288428837
LINK,350000000.0,0.0,0.0,0.0,-148.00367009500928,-148.00367009500928
GAS,10128375.0,0.0,0.0,0.0,-4.282961920281542,-4.282961920281542
QTUM,89136748.0,62380.0,0.07003136974264024,6.238,-37.69304526952566,-31.455045269525662
HC,43529781.0,0.0,0.0,0.0,-18.40733527552001,-18.40733527552001
DGB,11230577877.0,108754509.0,0.9778478348515307,10875.4509,-4749.047837382336,6126.403062617664
