,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,20986335.65,0.0,0.0,0.0,-0.747069485705068,-0.747069485705068
ETH,135135633.79999998,0.0,0.0,0.0,-4.81054482912525,-4.81054482912525
XRP,100000000000.0,0.0,0.0,0.0,-3559.790037500273,-3559.790037500273
XTZ,1923800541.46,0.0,0.0,0.0,-68.48326001626938,-68.48326001626938
BCH,20982433.29,0.0,0.0,0.0,-0.7469305698825606,-0.7469305698825606
BSV,20982141.46,0.0,0.0,0.0,-0.7469201813472943,-0.7469201813472943
LTC,83880542.21,0.0,0.0,0.0,-2.9859711849927906,-2.9859711849927906
EOS,1366411730.19,0.0,0.0,0.0,-48.64138864253872,-48.64138864253872
XLM,50000000000.0,0.0,0.0,0.0,-1779.895018750136,-1779.895018750136
ADA,42014022058.74,0.0,0.0,0.0,-1495.6109716001931,-1495.6109716001931
LINK,1000000000.0,0.0,0.0,0.0,-35.59790037500272,-35.59790037500272
BNB,100000000.0,0.0,0.0,0.0,-3.559790037500272,-3.559790037500272
TRX,104145119673.46,0.0,0.0,0.0,-3707.347594678566,-3707.347594678566
DASH,17600805.03,0.0,0.0,0.0,-0.6265517039777868,-0.6265517039777868
XMR,22466083.47,0.0,0.0,0.0,-0.7997454011815552,-0.7997454011815552
ETC,194571423.67,0.0,0.0,0.0,-6.9263341556271065,-6.9263341556271065
ICX,4105532970.53,0.0,0.0,0.0,-146.14835367121597,-146.14835367121597
ZEC,20924230.74,0.0,0.0,0.0,-0.7448586813060893,-0.7448586813060893
NEO,100000000.0,0.0,0.0,0.0,-3.5597900375002722,-3.5597900375002722
DOGE,280666706295.71,0.0,0.0,0.0,-9991.145449294834,-9991.145449294834
IOT,2779530283.28,,,,-98.94544211350454,
ONT,1000000000.0,0.0,0.0,0.0,-35.59790037500272,-35.59790037500272
RVN,20754957265.63,0.0,0.0,0.0,-738.8329010293356,-738.8329010293356
VET,86716263400.0,0.0,0.0,0.0,-3086.916905405695,-3086.916905405695
XEM,8999999999.0,0.0,0.0,0.0,-320.38110333942666,-320.38110333942666
DGB,21000000000.0,0.0,0.0,0.0,-747.5559078750572,-747.5559078750572
LSK,231538505.47,0.0,0.0,0.0,-8.242284650698082,-8.242284650698082
BAT,1500000000.0,0.0,0.0,0.0,-53.39685056250408,-53.39685056250408
DCR,20619744.270000003,0.0,0.0,0.0,-0.7340196022814933,-0.7340196022814933
ZRX,1000000000.0,0.0,0.0,0.0,-35.597900375002716,-35.597900375002716
BTG,20983114.73,0.0,0.0,0.0,-0.7469548277157921,-0.7469548277157921
WAVES,194428800.0,95428800.0,96.39272727272727,9542.880000000001,-6.921257052431329,9535.95874294757
NMR,9248182.0,0.0,0.0,0.0,-0.3292158614858934,-0.3292158614858934
SC,91002491209.17,0.0,0.0,0.0,-3239.497615941094,-3239.497615941094
QTUM,107823401.54,0.0,0.0,0.0,-3.838286706114835,-3.838286706114835
MONA,105082725.0,0.0,0.0,0.0,-3.740724375683808,-3.740724375683808
SNT,6804870174.89,0.0,0.0,0.0,-242.2390905505616,-242.2390905505616
ZEN,20865535.36,0.0,0.0,0.0,-0.7427692490163765,-0.7427692490163765
KNC,178212585.95999998,0.0,0.0,0.0,-6.343993880575688,-6.343993880575688
BCD,210000000.0,0.0,0.0,0.0,-7.475559078750572,-7.475559078750572
REP,11000000.0,0.0,0.0,0.0,-0.39157690412502993,-0.39157690412502993
ZIL,20999982720.4,0.0,0.0,0.0,-747.555292757578,-747.555292757578
MCO,22111377.4,0.0,0.0,0.0,-0.7871186098392867,-0.7871186098392867
THETA,1000000000.0,0.0,0.0,0.0,-35.59790037500272,-35.59790037500272
OMG,140245398.25,0.0,0.0,0.0,-4.992441714956081,-4.992441714956081
KMD,200000000.0,0.0,0.0,0.0,-7.1195800750005445,-7.1195800750005445
XZC,21347303.34,0.0,0.0,0.0,-0.7599191775722829,-0.7599191775722829
NANO,133248289.0,0.0,0.0,0.0,-4.7433593169615715,-4.7433593169615715
GAS,60464204.03,0.0,0.0,0.0,-2.152398711313778,-2.152398711313778
AION,901012592.0,0.0,0.0,0.0,-32.07415648663898,-32.07415648663898
ARK,381936707.22,0.0,0.0,0.0,-13.596144853174142,-13.596144853174142
BTS,3527780933.67,0.0,0.0,0.0,-125.58159422161876,-125.58159422161876
RCN,1000000000.0,0.0,0.0,0.0,-35.59790037500272,-35.59790037500272
STEEM,366580304.429,-1205951.9079999924,-0.3278947723633796,-120.59519079999924,-13.049489156501712,-133.64467995650097
HOT,164078572250.237,154063036.82199097,0.09398413791887883,15406.303682199097,-5840.852668636623,9565.451013562473
AE,503616445.26,0.0,0.0,0.0,-17.927688045578492,-17.927688045578492
NULS,250401085.34,0.0,0.0,0.0,-8.913752889725874,-8.913752889725874
XVG,16500000000.0,0.0,0.0,0.0,-587.365356187545,-587.365356187545
PIVX,175458680.4,0.0,0.0,0.0,-6.245960624808642,-6.245960624808642
