,New Weight,Old Weight,Turnover
10,,,0.0066123881381239145
20,,,0.6151394221442552
40,,,0.0053789082789528425
Total,,,0.12642842494540762
ETH,,,0.06282814634121589
Currency,,,0.0005073255689047702
Platform,,,0.14713645516004106
Application,,,0.06411423566689214
10,New Weight,Old Weight,Turnover
BTC,0.6070489986735661,0.605755906344978,0.0012930923285880969
XRP,0.11988326881516691,0.11893202536740101,0.0009512434477658982
XLM,0.025676977123494985,0.025707041904329,3.0064780834015287e-05
ETH,0.1266521259190727,0.12601338954320201,0.0006387363758706965
BCH,0.050017724292459244,0.04992205631931,9.566797314924241e-05
EOS,0.027895561171916577,0.028052022234532,0.00015646106261542336
LTC,0.019131897448846108,0.019007765235707002,0.00012413221313910608
ADA,0.011808173494223397,0.011916479529185,0.00010830603496160378
DASH,0.008412031291367547,0.008375757261641,3.627402972654695e-05
ZEC,0.0034732417698862005,0.0,0.0034732417698862005
ETC,0.0,0.006317556259711,0.006317556259711
20,New Weight,Old Weight,Turnover
XMR,0.0423842830080584,0.13701168052285,0.0946273975147916
ETC,0.026583342298205824,0.0,0.026583342298205824
TRX,0.03227651030986703,0.105262780413301,0.07298627010343398
ONT,0.02392248249649107,0.077947277061317,0.05402479456482594
NEO,0.027555361815144248,0.089737255898684,0.06218189408353976
DOGE,0.015209667964394637,0.049327194069975,0.034117526105580366
IOT,0.7034144240765727,0.11485834423051701,0.5885560798460557
VET,0.015944060279068983,0.05195096638642,0.03600690610735102
MAID,0.0024623258738160204,0.008023063539903001,0.00556073766608698
BNB,0.032207944108262186,0.06932452124836701,0.03711657714010482
XEM,0.019379213632492596,0.063013303860316,0.04363409022782341
DCR,0.007351786603738028,0.023306117590601003,0.015954330986862976
LSK,0.008072788294050316,0.0259847589215,0.017911970627449685
ZIL,0.0060720109025983625,0.019205707260015,0.013133696357416638
MANA,0.0017669523768662836,0.005756547664524001,0.003989595287657717
ZRX,0.007766066178630781,0.025204376793118002,0.017438310614487224
STEEM,0.005540810784656744,0.017832762126353003,0.012291951341696259
SC,0.005059729206280623,0.016167689469189003,0.01110796026290838
ICX,0.005576364116900619,0.018169619264162003,0.012593255147261385
OMG,0.01145387567390429,0.037320475444413005,0.025866599770508716
ZEC,0.0,0.044595558234462006,0.044595558234462006
Platform,New Weight,Old Weight,Turnover
ZRX,0.011296484986663106,0.009229829301424,0.0020666556852391056
ZIL,0.008832319790011174,0.007033119726708,0.0017992000633031743
XRP,0.25,0.39713645516003504,0.14713645516003504
XEM,0.028188917119347345,0.023075438171846003,0.0051134789475013424
