,New Weight,Old Weight,Turnover
10,,,0.0006033985561418615
20,,,0.06095901697868704
40,,,0.012889992927159224
Total,,,0.004901815527985504
ETH,,,0.1289147716704045
Currency,,,0.0006930609140724992
Platform,,,0.04817895626210798
Application,,,0.011631283261015115
10,New Weight,Old Weight,Turnover
BTC,0.6233844554375094,0.623610110095838,0.0002256546583285779
ETH,0.15939909212462047,0.15911711317631402,0.00028197894830644943
XRP,0.0720626401110421,0.07225222296017901,0.00018958284913690726
XLM,0.023184157359628022,0.023226045419701,4.1888060072978184e-05
BCH,0.05147092372300052,0.051542168690724005,7.124496772348277e-05
EOS,0.024717051996884138,0.024531495569915,0.00018555642696913704
LTC,0.017900066819242413,0.017823726057275002,7.634076196741044e-05
ADA,0.013706922286554608,0.013781950307433,7.502802087839232e-05
ETC,0.007380556362993727,0.007350272381815,3.028398117872668e-05
DASH,0.006794133778524661,0.006764895340803,2.9238437721661008e-05
20,New Weight,Old Weight,Turnover
ZEC,0.04679378957817323,0.045397895310727,0.0013958942674462266
ONT,0.09331106432958791,0.09365333109621801,0.00034226676663010047
XMR,0.1178535490916674,0.11784810549911201,5.443592555387511e-06
TRX,0.10600178885017572,0.10639060543679901,0.00038881658662329177
NEO,0.08829957218966324,0.08933447584428901,0.001034903654625774
IOT,0.10951095312436163,0.11023840500074202,0.0007274518763803889
VET,0.05879840587694014,0.0,0.05879840587694014
MAID,0.008360195505146972,0.008401468777100001,4.12732719530292e-05
BNB,0.0716782118805182,0.072015756658186,0.00033754477766780033
XEM,0.07321644049825961,0.07348499980077701,0.00026855930251740157
LSK,0.03215096223134079,0.032106943002387,4.401922895379273e-05
DCR,0.023894937751800866,0.023618646144343003,0.0002762916074578632
ZIL,0.020295923347884957,0.020459040164125003,0.00016311681624004565
ZRX,0.0284839100558113,0.028503148245068003,1.923818925670187e-05
DOGE,0.022157346358840826,0.022174741626559,1.739526771817393e-05
MANA,0.0055705716670068905,0.005587722561252,1.7150894245109884e-05
