,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.7101037910838445,7421.73984875,20986335.65,20986335.65,0.0,0.0,0.0,0.0,49.63329119235116,49.63329119235116
XRP,0.10126895401200178,0.22212469,100000000000.0,100000000000.0,0.0,0.0,0.0,0.0,236502.89416938377,236502.89416938377
ETH,0.09163705925703743,148.73794309,135135633.79999998,135135633.79999998,0.0,0.0,0.0,0.0,319.59968499114,319.59968499114
BCH,0.02053157828165989,214.62830446,20982433.29,20982433.29,0.0,0.0,0.0,0.0,49.62406199801024,49.62406199801024
LTC,0.017689843786974642,46.25761947,83880542.21,83880542.21,0.0,0.0,0.0,0.0,198.37990997162157,198.37990997162157
EOS,0.016855924760718764,2.70577396,1366411730.19,1366411730.19,0.0,0.0,0.0,0.0,3231.6032881693022,3231.6032881693022
XLM,0.012813951910536175,0.05621259,142283354823.16,50000000000.0,-92283354823.16,-64.85885502057243,-9228335.482316,-518748.6388498816,118251.44708469188,-9110084.035231309
XTZ,0.011566938535827735,1.31879987,,1923800541.46,,,,,4549.843958599176,
BSV,0.009997672700488553,104.51283167,20982141.46,20982141.46,0.0,0.0,0.0,0.0,49.62337181161419,49.62337181161419
ADA,0.007534285670910638,0.03933402,42014022058.74,42014022058.74,0.0,0.0,0.0,0.0,99364.3781258834,99364.3781258834
