,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.6930056918247338,9115.72038174,20986335.65,20986335.65,0.0,0.0,0.0,0.0,-0.0,0.0
XRP,0.10621561905727234,0.29321028,100000000000.0,100000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
ETH,0.08916111549920404,182.13626167,135135633.79999998,135135633.79999998,0.0,0.0,0.0,0.0,-0.0,0.0
XLM,0.03337507964431215,0.06475287,142283354823.16,142283354823.16,0.0,0.0,0.0,0.0,-0.0,0.0
BCH,0.02138269556436051,281.31792781,20982433.29,20982433.29,0.0,0.0,0.0,0.0,-0.0,0.0
LTC,0.017630956604529954,58.02370486,83880542.21,83880542.21,0.0,0.0,0.0,0.0,-0.0,0.0
EOS,0.016064651102341267,3.24549186,1366411730.19,1366411730.19,0.0,0.0,0.0,0.0,-0.0,0.0
BSV,0.009675234261057254,127.29240341,20982141.46,20982141.46,0.0,0.0,0.0,0.0,-0.0,0.0
BNB,0.007208407358327334,19.89894856,100000000.0,100000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
ADA,0.006280549083861306,0.04126617,42014022058.74,42014022058.74,0.0,0.0,0.0,0.0,-0.0,0.0
