,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTG,17513924.0,16.483729999999998,288694794.45651996,0.0661386508151864,0.025,0.3779938007785855,109124842.6216125,0.024999999999999994,6620154.699307288
QKC,1135966685.0,0.02847,32340971.52195,0.007409167964184713,0.025,3.3741980369250464,109124842.62161252,0.024999999999999998,3832976558.5392528
ZRX,587710997.0,0.28067,164952845.52798998,0.03778993892801284,0.025,0.6615517439079018,109124842.62161252,0.024999999999999998,388801234.9792017
ICX,473406688.0,0.34049,161190243.19712,0.03692794402371853,0.025,0.6769940937936512,109124842.6216125,0.024999999999999994,320493531.73841375
QTUM,89436388.0,2.45831,219862366.98428,0.05036945797636724,0.025,0.4963325198323497,109124842.6216125,0.024999999999999994,44390187.820743725
SC,40498046505.0,0.00277,112179588.81885,0.025699828316781574,0.025,0.972769144285505,109124842.62161252,0.024999999999999998,39395250043.903435
IOST,12013965609.0,0.01143,137319626.91087,0.031459295521511575,0.025,0.7946776806526145,109124842.6216125,0.024999999999999994,9547230325.600395
STEEM,317620347.0,0.35434,112545593.75598,0.025783678366031845,0.025,0.9696056414097888,109124842.6216125,0.024999999999999994,307966480.2777347
REP,11000000.0,21.07343,231807729.99999997,0.053106085752578615,0.025,0.4707558398575083,109124842.6216125,0.024999999999999994,5178314.238432591
OMG,140245398.0,1.61998,227194739.85204,0.052049270907045364,0.025,0.480314124757817,109124842.6216125,0.024999999999999994,67361845.5916817
WAVES,100000000.0,2.2305599999999997,223055999.99999997,0.05110110462505791,0.025,0.48922621503843217,109124842.6216125,0.024999999999999994,48922621.50384322
WTC,41682339.0,2.19539,91508990.21721001,0.02096428916156952,0.025,1.1925040628531545,109124842.6216125,0.024999999999999994,49706358.60672249
DGB,11736872183.0,0.01048,123002420.47783999,0.028179289317361866,0.025,0.8871763839905276,109124842.6216125,0.024999999999999994,10412675822.672949
NANO,133248289.0,1.53421,204430857.46669,0.04683417005593048,0.025,0.5337982923609922,109124842.62161252,0.024999999999999998,71127709.12822399
KMD,113025979.0,0.97945,110703295.13155,0.02536161621680655,0.025,0.9857415941588568,109124842.6216125,0.024999999999999994,111414408.72082546
BTS,2713230000.0,0.05339,144859349.7,0.033186611366372354,0.025,0.7533158394512144,109124842.62161252,0.024999999999999998,2043919135.0742185
NULS,71308354.0,0.7284,51941005.053600006,0.011899445581265135,0.025,2.100938218446143,109124842.62161252,0.024999999999999998,149814446.2130869
BCD,186492898.0,2.2534099999999997,420244961.28217995,0.09627618954268924,0.025,0.259669603863112,109124842.6216125,0.024999999999999994,48426536.94694375
ELF,334800000.0,0.16677,55834596.0,0.012791449375465535,0.025,1.954430593920882,109124842.6216125,0.024999999999999994,654343362.8447113
GAS,10128375.0,2.67069,27049749.82875,0.006196973388210118,0.025,4.034227425853251,109124842.62161252,0.024999999999999998,40860168.20432642
ZEN,6348575.0,7.66033,48632179.52975,0.011141408858288298,0.025,2.243881390404414,109124842.6216125,0.024999999999999994,14245449.298086703
SNT,3470483788.0,0.022940000000000002,79612898.09672001,0.018238949121048363,0.025,1.370693006163889,109124842.6216125,0.024999999999999994,4756967856.216761
MCO,15793831.0,4.9153400000000005,77632049.26754001,0.017785145756573296,0.025,1.405667422813228,109124842.6216125,0.024999999999999994,22200873.718117665
GNO,1104590.0,14.750110000000001,16292824.004900001,0.003732611111613452,0.025,6.697724261232654,109124842.62161252,0.024999999999999998,7398239.241714978
XZC,7387618.0,6.38582,47175998.77676,0.010807804539141817,0.025,2.313143239171228,109124842.6216125,0.024999999999999994,17088618.630279668
WAX,942732361.0,0.07145,67358227.19345,0.015431460329114258,0.025,1.6200670232636993,109124842.62161252,0.024999999999999998,1527289609.8196292
AE,261902788.0,0.46708999999999995,122332173.24691999,0.028025738756642143,0.025,0.8920371454641838,109124842.6216125,0.024999999999999994,233627015.3966313
XVG,15917654269.0,0.00747,118904877.38943,0.027240561024616895,0.025,0.9177490866435485,109124842.6216125,0.024999999999999994,14608412666.88253
QASH,350000000.0,0.12435,43522500.0,0.009970804757747307,0.025,2.5073201820118904,109124842.6216125,0.024999999999999994,877562063.7041616
AION,309581662.0,0.17867,55312955.54954,0.012671943945279308,0.025,1.9728622623297885,109124842.6216125,0.024999999999999994,610761978.0691359
