,Float,Price,Mkt Cap,Weight,Weight Cap,Weight1,Weight_step2,Weight2,Weight_step3,Weight3,Weight_step4,Weight4,AWF,Adj Mkt Cap,Adj Weight,Adj Float
LINK,1000000000.0,2.7972191,2797219100.0,0.29494242596205095,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.8476230545149395,2370987397.68953,0.25,847623054.5149394
TRX,104145119673.46,0.01867267,1944667451.7730262,0.20504826951717012,0.25,0.20504826951717012,0.21469728641618271,0.21469728641618271,0.21811864420819663,0.21811864420819663,0.21811864420819663,0.21811864420819663,1.0637429163474703,2068626226.4750426,0.21811864420819665,110783633324.80266
BNB,100000000.0,18.10657504,1810657504.0,0.19091808604343935,0.25,0.19091808604343935,0.19990217473093755,0.19990217473093755,0.20308776163132544,0.20308776163132544,0.20308776163132544,0.20308776163132544,1.0637429163474703,1926074093.8113914,0.20308776163132544,106374291.63474703
ICX,4105532970.53,0.2499536,1026192745.9026674,0.10820309999355833,0.25,0.10820309999355833,0.11329484518517512,0.11329484518517512,0.11510028114498468,0.11510028114498468,0.11510028114498468,0.11510028114498468,1.0637429163474703,1091605264.261122,0.11510028114498468,4367231615.232275
BAT,1500000000.0,0.22444886,336673290.0,0.03549927029642587,0.25,0.03549927029642587,0.03716976992950932,0.03716976992950932,0.03776209731332718,0.03776209731332718,0.03776209731332718,0.03776209731332718,1.0637429163474703,358133827.3608976,0.03776209731332718,1595614374.5212054
SC,91002491209.17,0.00198267,180427909.2456851,0.01902455380208977,0.25,0.01902455380208977,0.019919797841772665,0.019919797841772665,0.020237234343644325,0.020237234343644325,0.020237234343644325,0.020237234343644325,1.0637429163474703,191928910.37148178,0.020237234343644328,96803255393.72752
REP,11000000.0,14.30163046,157317935.06,0.016587808017590324,0.25,0.016587808017590324,0.017368385392157747,0.017368385392157747,0.01764516327644348,0.01764516327644348,0.01764516327644348,0.01764516327644348,1.0637429163474703,167345839.03448635,0.01764516327644348,11701172.079822173
OMG,140245398.25,0.91355669,128122121.81300178,0.013509363434180808,0.25,0.013509363434180808,0.01414507753397914,0.01414507753397914,0.014370489657473368,0.014370489657473368,0.014370489657473368,0.014370489657473368,1.0637429163474703,136288999.50598836,0.014370489657473371,149185048.9387674
MCO,22111377.4,5.05235448,111714516.66586074,0.011779324172570872,0.25,0.011779324172570872,0.012333627304549103,0.012333627304549103,0.01253017264793279,0.01253017264793279,0.01253017264793279,0.01253017264793279,1.06374291634747,118835525.75649075,0.012530172647932788,23520821.07993554
THETA,1000000000.0,0.10395114,103951140.0,0.01096074362323666,0.25,0.01096074362323666,0.011476526568859126,0.011476526568859126,0.011659413387118702,0.011659413387118702,0.011659413387118702,0.011659413387118702,1.06374291634747,110577288.82124415,0.011659413387118702,1063742916.34747
AE,503616445.26,0.18293449,92128817.56925102,0.009714182544688801,0.25,0.009714182544688801,0.010171305697956606,0.010171305697956606,0.010333392870018955,0.010333392870018955,0.010333392870018955,0.010333392870018955,1.0637429163474703,98001377.08075914,0.010333392870018955,535718426.2014185
SNT,6804870174.89,0.01332395,90667749.96672562,0.009560125673282696,0.25,0.009560125673282696,0.01000999932691265,0.01000999932691265,0.010169515964346057,0.010169515964346057,0.010169515964346057,0.010169515964346057,1.06374291634747,96447176.76826794,0.010169515964346057,7238632445.203408
GAS,60464204.03,1.48308266,89673412.54759513,0.009455281440443304,0.25,0.009455281440443304,0.009900221408084036,0.009900221408084036,0.01005798865434327,0.01005798865434327,0.01005798865434327,0.01005798865434327,1.06374291634747,95389457.38220866,0.01005798865434327,64318368.72950066
IOST,12013965608.0,0.00595105,71495710.0314884,0.007538600806267386,0.25,0.007538600806267386,0.007893346967968073,0.007893346967968073,0.00801913320683826,0.00801913320683826,0.00801913320683826,0.00801913320683826,1.0637429163474703,76053055.09522857,0.008019133206838261,12779770812.752129
DGD,2000000.0,32.92290298,65845805.96000001,0.006942867560595763,0.25,0.006942867560595763,0.00726958012723942,0.00726958012723942,0.007385426186722384,0.007385426186722384,0.007385426186722384,0.007385426186722384,1.0637429163474703,70043009.66114005,0.007385426186722384,2127485.8326949407
STEEM,358847880.0,0.17206146,61743890.1507048,0.006510356213920911,0.25,0.006510356213920911,0.006816715966552007,0.006816715966552007,0.006925345305457104,0.006925345305457104,0.006925345305457104,0.006925345305457104,1.0637429163474703,65679625.77554857,0.006925345305457104,381721890.39630705
MAID,452552412.0,0.12229912,55346761.74147744,0.005835834660636695,0.25,0.005835834660636695,0.0061104532535803035,0.0061104532535803035,0.006207827781227328,0.006207827781227328,0.006207827781227328,0.006207827781227328,1.0637429163474703,58874725.7452678,0.006207827781227328,481399422.5409619
RCN,1000000000.0,0.05376497,53764970.0,0.005669048478746942,0.25,0.005669048478746942,0.005935818565134676,0.005935818565134676,0.006030410161697461,0.006030410161697461,0.006030410161697461,0.006030410161697461,1.06374291634747,57192105.98513424,0.006030410161697461,1063742916.34747
