,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
TRX,66682072191.0,0.02371,1581031931.6486099,0.21169454940319052,0.041666666666666664,0.19682446611938462,311185765.86443704,0.041666666666666664,13124663258.727839
BNB,141175490.0,21.963620000000002,3100724815.6738005,0.415176018610132,0.041666666666666664,0.1003590400191044,311185765.86443704,0.041666666666666664,14168236.650626672
BAT,1253998401.0,0.38614,484218942.56214,0.06483519327234187,0.041666666666666664,0.6426550853584222,311185765.864437,0.04166666666666666,805888449.43398
VET,55454734800.0,0.00632,350473923.936,0.04692721122199912,0.041666666666666664,0.8878999109824292,311185765.86443704,0.041666666666666664,49238254092.47421
LINK,350000000.0,0.47231000000000006,165308500.00000003,0.022134219884810697,0.041666666666666664,1.8824547186892202,311185765.86443704,0.041666666666666664,658859151.5412271
MANA,1050141509.0,0.0511,53662231.1099,0.007185181783731965,0.041666666666666664,5.798971817387354,311185765.864437,0.04166666666666666,6089741014.959628
ZIL,8687360058.0,0.01743,151420685.81094,0.020274690985933454,0.041666666666666664,2.055107359987628,311185765.864437,0.04166666666666666,17853457594.05835
ZRX,587710997.0,0.28067,164952845.52798998,0.02208659901663703,0.041666666666666664,1.8865134752200048,311185765.864437,0.04166666666666666,1108724715.3754838
IOST,12013965609.0,0.01143,137319626.91087,0.01838660937910249,0.041666666666666664,2.266141940994482,311185765.86443704,0.041666666666666664,27225351344.220215
REP,11000000.0,21.07343,231807729.99999997,0.031038230138310054,0.041666666666666664,1.3424304955854451,311185765.86443704,0.041666666666666664,14766735.451439897
OMG,140245398.0,1.61998,227194739.85204,0.030420567173239224,0.041666666666666664,1.369687370698353,311185765.864437,0.04166666666666666,192092350.43916404
WTC,41682339.0,2.19539,91508990.21721001,0.012252728147099013,0.041666666666666664,3.4006032098681445,311185765.864437,0.04166666666666666,141745095.79821214
SNT,3470483788.0,0.022940000000000002,79612898.09672001,0.010659883745480889,0.041666666666666664,3.908735560491518,311185765.864437,0.04166666666666666,13565203394.264908
MCO,15793831.0,4.9153400000000005,77632049.26754001,0.010394655136282693,0.041666666666666664,4.008470326372692,311185765.86443704,0.041666666666666664,63309102.90324514
GNO,1104590.0,14.750110000000001,16292824.004900001,0.002181551154774126,0.041666666666666664,19.099559767591494,311185765.864437,0.04166666666666666,21097182.723683886
WAX,942732361.0,0.07145,67358227.19345,0.009019026920883425,0.041666666666666664,4.619862767034003,311185765.8644369,0.04166666666666665,4355294133.8619585
AE,261902788.0,0.46708999999999995,122332173.24691999,0.016379842667703617,0.041666666666666664,2.543776977102562,311185765.864437,0.04166666666666666,666222282.353373
QASH,350000000.0,0.12435,43522500.0,0.005827507871262962,0.041666666666666664,7.1499974924335,311185765.864437,0.04166666666666666,2502499122.351725
AION,309581662.0,0.17867,55312955.54954,0.007406207911948135,0.041666666666666664,5.625911014386664,311185765.864437,0.04166666666666666,1741678882.0979292
POWR,404852067.0,0.11352000000000001,45958806.645840004,0.0061537206613242615,0.041666666666666664,6.770971410603504,311185765.864437,0.04166666666666666,2741241771.1807346
POLY,433099471.0,0.08492000000000001,36778807.07732,0.004924551386954891,0.041666666666666664,8.461007590872425,311185765.864437,0.04166666666666666,3664457911.733832
LRC,828954240.0,0.05994,49687517.1456,0.006652981728289905,0.041666666666666664,6.262856019804032,311185765.86443704,0.041666666666666664,5191621052.126077
GNT,963622000.0,0.07606,73293089.32000001,0.009813683839886941,0.041666666666666664,4.2457722651830085,311185765.864437,0.04166666666666666,4091319561.720181
PPT,53252246.0,1.14646,61051569.94916,0.00817458795868094,0.041666666666666664,5.097096866199729,311185765.86443704,0.041666666666666664,271431856.2046971
