,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BNB,100000000.0,15.8621883,1586218830.0,0.24399182359206184,0.05,0.20492489979335,325055734.78807485,0.05000000000000001,20492489.979335
LINK,1000000000.0,1.73091212,1730912120.0,0.26624851290940843,0.05,0.18779447612168484,325055734.7880749,0.050000000000000024,187794476.12168485
TRX,104145119673.46,0.01445091,1504991751.3404,0.2314974926256266,0.05,0.21598506071449794,325055734.78807485,0.05000000000000001,22493789995.790913
VET,86716263400.0,0.00351558,304857961.283772,0.046893183023294274,0.05,1.0662530623089161,325055734.7880749,0.050000000000000024,92461481402.23659
BAT,1500000000.0,0.17231528,258472919.99999997,0.03975824640788377,0.05,1.2576007373928184,325055734.7880749,0.050000000000000024,1886401106.0892277
ZRX,1000000000.0,0.20563716,205637160.0,0.03163106169070795,0.05,1.5807246841381923,325055734.7880749,0.050000000000000024,1580724684.1381924
OMG,140245398.25,0.83081691,116518248.4157844,0.017922810759168774,0.05,2.789740999436793,325055734.7880749,0.050000000000000024,391248337.48036605
ZIL,20999982720.4,0.00512258,107574091.48386663,0.016547022551994233,0.05,3.021691657389688,325055734.7880749,0.050000000000000024,63455472591.560295
REP,11000000.0,8.72920887,96021297.57000001,0.01476997439109982,0.05,3.385246221559416,325055734.78807485,0.05000000000000001,37237708.43715358
SNT,6804870174.89,0.01248571,84963635.59132583,0.013069087313090968,0.05,3.825821865151692,325055734.7880749,0.050000000000000024,26034221104.61278
AE,503616445.26,0.16033664,80748168.68173233,0.012420665141376038,0.05,4.0255493108367215,325055734.7880749,0.050000000000000024,2027332834.1424325
QASH,1000000000.0,0.07150924,71509240.0,0.010999535209957388,0.05,4.545646615571287,325055734.7880749,0.050000000000000024,4545646615.571287
MCO,22111377.4,2.85064733,63031738.94793234,0.009695527905241676,0.05,5.157016769862381,325055734.78807485,0.05000000000000001,114028744.05655603
IOST,12013965608.0,0.00476886,57292920.02936688,0.008812784070202589,0.05,5.673575977999719,325055734.7880749,0.050000000000000024,68162146674.06359
GNT,1000000000.0,0.04649561,46495610.0,0.007151944270466961,0.05,6.991105929959299,325055734.7880749,0.050000000000000024,6991105929.959299
WTC,42483863.0,0.70731685,30049552.15299155,0.004622215352173808,0.05,10.817323770188512,325055734.78807485,0.05000000000000001,459561701.07933223
FUN,11000000000.0,0.00397757,43753270.0,0.006730118148588522,0.05,7.42929008021743,325055734.78807485,0.05000000000000001,81722190882.39172
AION,641095291.0,0.06371758,40849040.49191578,0.006283390218995512,0.05,7.957487639211624,325055734.7880749,0.050000000000000024,5101507853.689279
CVC,1000000000.0,0.03714526,37145260.0,0.005713675536937908,0.05,8.750934433843643,325055734.7880749,0.050000000000000024,8750934433.843643
KNC,178212585.95999998,0.19118672,34071879.772410445,0.005240928881723028,0.05,9.540293548795841,325055734.78807485,0.05000000000000001,1700200384.148412
