,Float,Price,Mkt Cap,Weight,Weight Cap,Weight1,Weight_step2,Weight2,Weight_step3,Weight3,Weight_step4,Weight4,AWF,Adj Mkt Cap,Adj Weight,Adj Float
XRP,22903314113.0,0.30918,7081246657.45734,0.20403654912675603,0.25,0.20403654912675603,0.24840729469470021,0.24840729469470021,0.2678211781452364,0.25,0.2592399216522436,0.25,1.2252706736609702,8676443862.342249,0.24999999999999983,28062759112.304317
ETH,104875903.32,141.84023,14875622248.366562,0.4286209443747503,0.25,0.25,0.25,0.25,0.25,0.25,0.2592399216522436,0.25,0.5832659446091392,8676443862.342249,0.24999999999999983,61170542.81667655
EOS,910923238.7,4.1982800000000005,3824310814.5694366,0.1101923459439362,0.25,0.1101923459439362,0.13415529065329723,0.13415529065329723,0.14463998749046902,0.14463998749046902,0.14998583609924274,0.14998583609924274,1.3611275339899989,5205374748.246181,0.14998583609924263,1239882701.5459142
ADA,30291279684.93,0.07045,2134020653.8033185,0.061488920105432145,0.25,0.061488920105432145,0.07486058925452581,0.07486058925452581,0.08071120147834161,0.08071120147834161,0.0836942621908149,0.0836942621908149,1.3611275339899986,2904674269.9950356,0.08369426219081484,41230294818.95011
XTZ,667123116.0800003,1.0385,692807356.0490803,0.019962307341606353,0.25,0.019962307341606353,0.024303404384240904,0.024303404384240904,0.026202798927975172,0.026202798927975172,0.027171246164631103,0.027171246164631103,1.3611275339899989,942999168.0692158,0.02717124616463109,908039641.8576945
ONT,925000000.0,1.30342,1205663500.0,0.03473956378698119,0.25,0.03473956378698119,0.042294192369607894,0.042294192369607894,0.04559962879935234,0.04559962879935234,0.04728497678926196,0.04728497678926196,1.3611275339899984,1641061786.5767505,0.047284976789261926,1259042968.9407485
RVN,3195506428.57,0.05956,190324362.8856292,0.005483939212460086,0.25,0.005483939212460086,0.0066765023711075795,0.0066765023711075795,0.007198293967643479,0.007198293967643479,0.007464340656806852,0.007464340656806852,1.3611275339899986,259055730.7127341,0.0074643406568068475,4349491784.968672
NEO,80000000.0,10.02702,802161600.0,0.02311320204241639,0.25,0.02311320204241639,0.028139507434630364,0.028139507434630364,0.030338706610173204,0.030338706610173204,0.03146001569860682,0.03146001569860682,1.3611275339899986,1091844240.4694717,0.0314600156986068,108890202.7191999
ETC,109498727.21,4.823840000000001,528204340.2646864,0.015219493972559832,0.25,0.015219493972559832,0.018529196560745576,0.018529196560745576,0.019977316926552476,0.019977316926552476,0.020715672299446014,0.020715672299446014,1.3611275339899989,718953471.1072868,0.020715672299446,149041732.54239088
VET,85466263400.0,0.0061200000000000004,523053532.008,0.01507108039614513,0.25,0.01507108039614513,0.01834850827146149,0.01834850827146149,0.01978250722673031,0.01978250722673031,0.02051366249417003,0.02051366249417003,1.3611275339899984,711942564.1668078,0.020513662494170016,116330484340.98166
XEM,8933249239.04,0.05515,492668695.533056,0.014195582411111737,0.25,0.014195582411111737,0.017282620385670508,0.017282620385670508,0.018633316540949022,0.018633316540949022,0.019321998080788313,0.019321998080788313,1.3611275339899984,670584926.624978,0.019321998080788303,12159291507.252546
DCR,9524299.239999998,20.92499,199295866.35400757,0.005742440956109831,0.25,0.005742440956109831,0.006991219117145093,0.006991219117145093,0.0075376069085512495,0.0075376069085512495,0.007816194497672943,0.007816194497672943,1.3611275339899984,271267091.1048306,0.007816194497672936,12963785.937524013
ZIL,10249349158.76,0.02029,207959294.43124038,0.005992065923858255,0.25,0.005992065923858255,0.007295128701932844,0.007295128701932844,0.007865268071431028,0.007865268071431028,0.00815596591444669,0.00815596591444669,1.3611275339899986,283059121.5994943,0.008155965914446684,13950671345.465466
LSK,130785946.57,1.74527,228256788.9702239,0.006576910788327422,0.25,0.006576910788327422,0.008007156675453512,0.008007156675453512,0.008632943477159517,0.008632943477159517,0.008952014362588322,0.008952014362588322,1.3611275339899986,310686600.28751636,0.008952014362588315,178016352.93537182
