Ticker,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued,,,,
BTC,Bitcoin,3976.349795,-0.04454549,83437717621,70009602662,9479841440,20983495.4,17606500,83.90642105,,,BTC,Bitcoin
XRP,XRP,0.309388378,-0.042719312,30938837815,6751217698,601186835.1,1E+11,21821174210,21.82117421,,,XRP,XRP
ETH,Ethereum,136.0529699,0.218981002,16877586698,14334835057,4366407718,124051586,105362162,84.93415151,,,ETH,Ethereum
XLM,Stellar Lumens,0.105931579,-1.082934056,15110175718,2036567131,194854053.6,1.42641E+11,19225307019,13.4781168,,,XLM,Stellar Lumens
EOS,EOS,3.657973257,0.768911412,6329019612,3315020406,1430529618,1730198437,906245118,52.37810292,,,EOS,EOS
LTC,Litecoin,60.34703714,1.509209429,5062119374,3682207899,2034723797,83883478.19,61017211,72.74043985,,,GRIN,Grin
BCH,Bitcoin Cash,164.6909686,3.669526615,3455782116,2913214426,521910722.5,20983434.28,17688975,84.2997136,,,LTC,Litecoin
TRX,Tron,0.023977389,7.038606555,2691370898,1598862002,370632142.3,1.12246E+11,66682072191,59.40697371,,,BCH,Bitcoin Cash
ADA,Cardano,0.061636088,8.340726124,2590888950,1598043196,144872653.1,42035259578,25927070538,61.67933967,,,TRX,Tron
GRIN,Grin,2.47377117,2.562951139,2415929923,14339758.82,16715009.24,976618190,5796720,0.59355028,,,ADA,Cardano
DASH,Dash,90.98848156,0.755120336,1719682301,792082483.5,250967749.6,18900000,8705305,46.05981481,,,DASH,Dash
BNB,Binance Coin,14.88785127,-1.13770513,1488785127,2150450858,141505575.8,100000000,144443333,144.443333,,,BSV,Bitcoin SV
BSV,Bitcoin SV,65.92863925,-0.678732763,1383409269,1164064799,85208035.13,20983434.28,17656436,84.14464366,,,XMR,Monero
XTZ,Tezos,0.705168716,-5.475448222,1336726056,556051364.4,3803118.551,1895611682,788536632,41.59800446,,,ZEC,ZCash
ONT,Ontology,1.239030596,-2.971589953,1239030596,665978945.4,75494839.99,1000000000,537500000,53.75,,,ONT,Ontology
HT,Huobi Token,2.431984985,-3.383841577,1215992492,121599735.6,55261995.27,500000000,50000200,10.00004,,,BNB,Binance Coin
ZEC,ZCash,57.49483091,4.676026424,1203138322,354223870.9,173053308.3,20926025.92,6160969,29.44165807,,,ETC,Ethereum Classic
RVN,Ravencoin,0.056322695,30.04300026,1182776592,178422975.4,76760677.12,21000000000,3167870000,15.08509524,,,NEO,NEO
XMR,Monero,52.44924183,-0.179792877,1179199132,884957962.4,81888807.64,22482672.6,16872655,75.04737226,,,XTZ,Tezos
ETC,Ethereum Classic,4.827261431,-0.107105051,933030675,527080353.4,195340376.6,193283643,109188276,56.4912138,,,IOT,Iota
NEO,NEO,9.192182772,1.077171676,919218277.2,597491880.2,250139194.8,100000000,65000000,65,,,MKR,Maker
IOTA,Iota,0.308723798,-0.352574626,858107145.8,858107145.8,14591874.14,2779530283,2779530283,100,,,HT,Huobi Token
MKR,Maker,727.6720124,0.504660304,725304895.4,727672012.4,1646634.568,996747,1000000,100.3263617,,,DOGE,Dogecoin
DOGE,Dogecoin,0.001988175,-1.461129695,558385226.5,236154965.5,15585812.37,2.80853E+11,1.1878E+11,42.29248093,,,MAID,MaidSafeCoin
MAID,MaidSafeCoin,0.126050288,0.430678541,542016240.5,57044362.09,290664.5836,4300000000,452552412,10.5244747,,,DCN,Dentacoin
VEN,VeChain,0.005852944,1.32410231,507545449.6,324573467.6,18180745.21,86716263400,55454734800,63.949636,,,LINK,Chainlink
XEM,New Economy Movement,0.051015134,3.333522981,459136209.4,459136209.4,13369173.48,8999999999,8999999999,100,,,VET,VeChain
LINK,Chainlink,0.455488887,-1.274815233,455488886.9,159421110.4,2529559.56,1000000000,350000000,35,,,XEM,New Economy Movement
MANA,Decentraland,0.050144776,0.949033298,450850245.9,52659110.84,2305580.799,8990971363,1050141509,11.67995611,,,ZIL,Zilliqa
ZIL,Zilliqa,0.019563641,2.029219126,410836122.7,170242212.6,17319399.56,20999982720,8701969775,41.43798541,,,DCR,Decred
DCR,Decred,18.70731283,-1.276487438,392853569.4,177961712.9,1639020.52,21000000,9512949,45.29975714,,,MANA,Decentraland
QKC,QuarkChain,0.035667858,1.082348022,356678576.6,33383922.93,11356357.16,10000000000,935966585,9.35966585,,,HOT,Holochain
LSK,Lisk,1.504714325,0.567763637,352595264.3,173916980.7,4100950.89,234327047,115581395,49.32482037,,,QKC,QuarkChain
DNT,Dentacoin,3.97635E-05,-0.541836309,318107983.6,12995594.33,16246.27481,8E+12,3.26822E+11,4.085277641,,,LSK,Lisk
STEEM,Steem,0.464127443,0.464538809,313947108,142890730.7,1388472.26,676424358.9,307869601,45.51426881,,,WAVES,Waves
BAT,Basic Attention Token,0.199490539,1.172091151,299235809,248249375.2,11906337.46,1500000000,1244416783,82.96111887,,,BTG,Bitcoin Gold
HOT,Holochain,0.001192905,-0.04454549,298226234.6,158912324.6,5601647.671,2.5E+11,1.33215E+11,53.28583006,,,GAS,NEO GAS
QTUM,Qtum,2.601753349,3.025363007,280527306.5,232454142.1,175893468.9,107822406.3,89345188,82.8632852,,,ZRX,0x
WAVES,Waves,2.764428119,0.376139845,276442811.9,276442811.9,5996740.638,100000000,100000000,100,,,SC,Siacoin
BTG,Bitcoin Gold,12.95097128,0.448909392,270464236.4,225527229.6,10200864.32,20883702.89,17413924,83.38523148,,,HSR,Hcash
ZRX,0x,0.266569881,-1.059950149,266569880.9,156247670.9,15973350.09,1000000000,586141504,58.6141504,,,RVN,Ravencoin
DGB,Digibyte,0.012525502,-1.254760927,263035538.9,145118802.8,2742515.17,21000000000,11585867334,55.17079683,,,DGB,Digibyte
ICX,Icon,0.322879603,1.709058975,258452207.3,129226103.6,11137869.69,800460000,400230000,50,,,QTUM,Qtum
OMG,OmiseGO,1.741565284,4.522618703,244246516.4,244246516.4,83997730.32,140245398,140245398,100,,,STEEM,Steem
BTM,Bytom,0.11595036,3.014641985,243495756.3,116240152,5699675.692,2100000000,1002499275,47.73806071,,,ICX,Icon
SIA,Siacoin,0.002664154,-0.04454549,242383791.5,106471695.1,1948780.706,90979635000,39964536810,43.92690387,,,BAT,Basic Attention Token
KMD,Komodo,1.044941909,0.206934066,208988381.7,117399117.9,688581.2869,200000000,112349899,56.1749495,,,KMD,Komodo
BTS,BitShares,0.052897703,3.858325203,190461907.4,142884629.2,11291223.78,3600570502,2701150000,75.02005581,,,BTM,Bytom
ENG,Enjin Coin,0.18267351,-3.094215585,182673509.6,140112040.5,9642083.609,1000000000,767007985,76.7007985,,,OMG,OmiseGO
IOST,IOST,0.008668964,-0.049772952,182048249.4,104148638.4,45586937.42,21000000000,12013965609,57.20936004,,,RDD,ReddCoin
BCD,Bitcoin Diamond,0.849784977,0.933781918,178454845.1,130660282.4,1654851.249,210000000,153756875,73.21755952,,,BTS,BitShares
RDC,ReddCoin,0.001232668,-3.168153444,172414768.5,35511591.42,65815.38033,1.39871E+11,28808713174,20.59660651,,,IOST,IOST
AEL,AElf,0.170167691,-1.189081733,170167690.9,47646953.44,4620983.349,1000000000,280000000,28,,,BCD,Bitcoin Diamond
NEO GAS,NEO GAS,2.791936726,-0.147968439,168812231.8,28277782.13,1659910.313,60464204.03,10128375,16.75102676,,,REP,Augur
NULS,NULS,0.635301407,-6.581556203,165178365.7,41022373.04,21626776.98,260000000,64571513,24.83519731,,,SNT,Status
REP,Augur,14.35124028,0.777669447,157863643,157863643,6739022.121,11000000,11000000,100,,,R,Revain
STS,Status,0.022781387,0.804621127,155024377.8,79062432.67,5493325.77,6804870174,3470483788,50.99999999,,,ELF,AElf
QASH,QASH,0.151220583,7.991645881,151220582.7,52927203.94,117049.5044,1000000000,350000000,35,,,GNO,Gnosis
ZCN,Zcoin,6.801809352,0.094700922,145100079.9,47994485.03,1026273.686,21332570.85,7056135,33.07681502,,,BCN,Bytecoin
Revain,Revain,0.140414915,-1.632352494,140414915.4,68024005.77,673019.8404,1000000000,484450000,48.445,,,AE,Aeternity
GNO,Gnosis,13.8417134,-1.328322405,138417134,15289418.2,49891.82697,10000000,1104590,11.0459,,,NANO,Nano
Horizen,Horizen,6.434103605,-0.097719148,134663452.4,39099082.49,478070.0922,20929636.93,6076850,29.03466516,,,XZC,Zcoin
Bytecoin,Bytecoin,0.000715743,-5.305358886,132033104.4,131744537.5,167100.3016,1.8447E+11,1.84067E+11,99.78144349,,,QASH,QASH
Nano,Nano,0.986930019,0.157221677,131506737.4,131506736.4,1544598.837,133248290,133248289,99.99999925,,,NULS,NULS
Aeternity,Aeternity,0.47994542,0.287808473,131354260.7,122361248.3,34887837.27,273685830,254948257,93.15361961,,,ZEN,ZenCash
Project Pai,Project Pai,0.058690923,12.62156554,128699994.3,85147824.88,7955161.097,2192843250,1450783538,66.15992903,,,WTC,Waltonchain
Hxro,Hxro,0.07881503,-1.982734056,124133673,4377030.942,10748.70757,1575000000,55535485,3.52606254,,,PIVX,PIVX
